id,name,type,description,image,created_at
1,Maharashtra,national,"Maharashtra[a] is a state in the western peninsular region of India occupying a substantial portion of the Deccan Plateau. It is bordered by the Arabian Sea to the west, the Indian states of Karnataka and Goa to the south, Telangana to the southeast and Chhattisgarh to the east, Gujarat and Madhya Pradesh to the north, and the Indian union territory of Dadra and Nagar Haveli and Daman and Diu to the northwest.[20] Maharashtra is the second-most populous state in India, the third-most populous country subdivision in South Asia, and the fourth-most populous in the world.",maharashtra.jpg,2026-05-03T12:49:07.689354
2,Karnataka,national,"Karnataka[a] is a state in the southwestern region of India. It was formed as Mysore State on 1 November 1956, with the passage of the States Reorganisation Act, and renamed Karnataka in 1973. The state is bordered by the Lakshadweep Sea to the west, Goa to the northwest, Maharashtra to the north, Telangana to the northeast, Andhra Pradesh to the east, Tamil Nadu to the southeast, and Kerala to the southwest. With 61,130,704 inhabitants at the 2011 census, Karnataka is the eighth-largest state by population, comprising 31 districts. With 15,257,000 residents, the state capital Bengaluru is the largest city of Karnataka.[",karnataka.webp,2026-05-03T12:50:07.041933
3,Himachal Pradesh,national,"Himachal Pradesh is a breathtaking state in northern India, nestled deep within the western Himalayas and famously known as the ""Abode of Snow."" Defined by its dramatic landscapes, the state transitions from the lush, green forests of the lower Shivalik hills to the stark, high-altitude deserts of Lahaul and Spiti. It is a major hub for adventure and spirituality, home to iconic hill stations like Shimla and Manali, as well as Dharamshala, the residence of the Dalai Lama. Beyond its scenic beauty, the state is a vital center for hydroelectric power and agricultureâ€”particularly its world-famous applesâ€”making it a unique blend of serene natural wilderness and vibrant mountain culture.
",Himachal_Pradesh.webp,2026-05-03T14:32:31.351197
4,Kerala,national,"Kerala, a state on India's tropical Malabar Coast, has nearly 600km of Arabian Sea shoreline. It's known for its palm-lined beaches and backwaters, a network of canals. Inland are the Western Ghats, mountains whose slopes support tea, coffee and spice plantations as well as wildlife. National parks like Eravikulam and Periyar, plus Wayanad and other sanctuaries, are home to elephants, langur monkeys and tigers.",Kerala.jpg,2026-05-03T14:43:53.328632
5,Ladakh,national,Ladakh is a region administered by India as a union territory and constitutes an eastern portion of the larger Kashmir region that has been the subject of a dispute between India and Pakistan since 1947 and India and China since 1959.,Ladakh.jpg,2026-05-03T16:43:56.718109
6,Nepal,international,"Nepal, officially the Federal Democratic Republic of Nepal, is a landlocked country in South Asia. It is mainly situated in the Himalayas, but also includes parts of the Indo-Gangetic Plain.",nepal.webp,2026-05-03T17:14:36.528694
7,Arunachal Pradesh,national,"Arunachal Pradesh is a state in northeast India. It was known as the North-East Frontier Agency until 1972, after which it became a union territory under the name Arunachal Pradesh. It became a state on 20 February 1987. Itanagar is its capital and largest town. ",Arunachal-Pradesh.png,2026-05-03T17:27:17.808286
8,Andhra pradesh,national,"Andhra Pradesh is a state on the east coast of southern India. It is the seventh-largest state and the tenth-most populous in the country. Telugu, one of the classical languages of India, is the most widely spoken language in the state, as well as its official language.",Tirumala.jpg,2026-05-03T17:36:03.908280
9,Uttarakhand,national,"Uttarakhand, a state in northern India crossed by the Himalayas, is known for its Hindu pilgrimage sites. Rishikesh, a major centre for yoga study, was made famous by the Beatles’ 1968 visit. The city hosts the evening Ganga Aarti, a spiritual gathering on the sacred Ganges River. The state's forested Jim Corbett National Park shelters Bengal tigers and other native wildlife",Uttarakhand.webp,2026-05-04T19:40:05.436610
10,Bengaluru,national,"Bengaluru (also called Bangalore) is the capital of India's southern Karnataka state. The center of India's high-tech industry, the city is also known for its parks and nightlife. By Cubbon Park, Vidhana Soudha is a Neo-Dravidian legislative building. Former royal residences include 19th-century Bangalore Palace, modeled after England’s Windsor Castle, and Tipu Sultan’s Summer Palace, an 18th-century teak structure.",Bengaluru.jpg,2026-05-16T15:59:06.814744
11,Thailand,international,"Thailand is a Southeast Asian country. It's known for tropical beaches, opulent royal palaces, ancient ruins and ornate temples displaying figures of Buddha. In Bangkok, the capital, an ultramodern cityscape rises next to quiet canalside communities and the iconic temples of Wat Arun, Wat Pho and the Emerald Buddha Temple (Wat Phra Kaew). Nearby beach resorts include bustling Pattaya and fashionable Hua Hin.",Thailand.jpg,2026-05-16T16:08:40.917073
12,Tamil Nadu,national,"Tamil Nadu, a South Indian state, is famed for its Dravidian-style Hindu temples. In Madurai, Meenakshi Amman Temple has high ‘gopuram’ towers ornamented with colourful figures. On Pamban Island, Ramanathaswamy Temple is a pilgrimage site. The town of Kanyakumari, at India’s southernmost tip, is the site of ritual sunrises. Capital Chennai is known for beaches and landmarks including 1644 colonial Fort St. George.",tamilnadu-banner.webp,2026-05-19T11:58:24.338154
